"","A375","A549","HA1E","HCC515","HEK293","HELA","HT29","HUVEC","JURKAT","MCF10A","MCF7","MDAMB231","PC3","THP1","VCAP","XC.L10","XC.R10","YAPC"
"RRAGA",-5.52806884508867,-1.47062891450795,-4.51709622603196,0.554802119731903,-1.98783859068697,-4.96476669112841,-1.43974593969492,-2.92020000020663,-0.331200003623962,-0.487730008363724,-1.55759355749773,-2.10047796368599,-1.0651824091162,2.70184987783432,0.731599986553192,-4.69661601384481,-4.09573356310527,1.39613966333369
"RRP12",-0.899759175685736,-0.882856683297591,4.11389222511878,-0.846706748008728,0.833102805201303,6.29585840304693,0.616699778116666,3.97418747842312,10,0.247560000419617,0.90107037127018,1.4820510094816,1.68322048974889,-0.492000102996826,1.9563000202179,0.535819451014201,1.08448505401611,3.04548904630873
"RRP1B",-6.49169814357391,-1.98267954587936,-5.13253846535316,-1.69923746585846,-5.01090708104047,-6.80884996801615,-3.21662504397906,-3.89090419063966,-10,-6.25897997617722,-5.07216162007788,-4.25625887784091,-6.05113404137748,-4.58609986305237,-4.30870008468628,-6.03107420603434,-7.39205392201742,-5.91389759381612
"RRP8",-3.57731976875892,-1.46694218909199,-2.62891155939836,-1.29462897777557,-1.0574485280297,-2.44450831413269,-1.22507822055083,-2.43505001813173,-2.60889995098114,-2.03669998645782,0.127090321934742,-2.06786000728607,-0.156773333038602,-1.59855005145073,0.0573000013828278,1.96964744726817,-1.08144847551982,0.143456584877438
"RSU1",5.56103345064017,3.68988956417888,3.97814615643941,2.29756879806519,2.09485831585797,0.592650013665358,6.07291727799636,3.24937918782234,1.11060002446175,2.38063992261887,4.22957757763241,4.01920148459348,4.66800163899149,2.09229987859726,1.45799994468689,5.610671043396,6.36471811930339,3.14130575540993
"RTN2",3.86750129552988,1.6522234109315,3.53943461638231,1.44038271903992,1.74680270390077,4.17179171244303,2.55164130375935,1.99736668666204,4.9227499961853,2.05719005465507,2.07200630721839,2.09483085166324,2.63498230172055,5.20939993858337,-0.76529997587204,3.14702526728312,2.80034724871318,2.00056121084425
"RUVBL1",3.04219075464285,1.17701001803983,4.77267313462037,-1.84318852424622,2.25620894066312,3.16810830930869,1.35318149740879,3.1158292517066,-0.889550011605024,-4.96088993549347,2.33273623818937,2.99327293309298,3.93545626423189,-3.95820009708405,-2.19770002365112,2.41033625602722,3.20274964968363,1.12064221998056
"SACM1L",-4.03519948314016,-2.19765879146077,-1.7190614938736,-0.196220830082893,-1.43011810833758,-6.89032504955928,-2.43308397898307,-2.00833746790886,-3.91440010070801,-2.66875993013382,-1.30374684411546,-0.381734689528292,-4.4731503448316,-4.08649998903275,1.0789999961853,-6.29012521107992,-6.96934080123901,-3.54097041073773
"SCAND1",-5.77163492716276,-1.34139133380218,-4.4650423182891,1.20901250839233,-1.81567248431119,-4.02904174725215,-2.79246072241893,-5.29215832799673,-4.66920006275177,-2.53632998168468,-4.26521558865257,-2.20407519557259,-2.96917457452842,-1.71355006098747,-4.9064998626709,-2.56458127498627,-4.79996395111084,-1.15500554856327
"SCARB1",6.68057551292273,3.62627053125338,6.91805387460268,0.802318453788757,5.83004864914851,6.63651670018832,5.27954955742909,4.86067075530688,8.21595001220703,0.856700015068054,2.66504224875699,7.8685676171021,5.02956221359117,1.53914996981621,-2.01300001144409,5.47314023971558,3.76026248931885,4.84905736313926
"SCCPDH",-0.742777462189014,-1.36306266960773,-2.58461535893954,-1.360307097435,1.30400538715449,-3.82166655361652,-0.10163544691526,-2.59866667787234,-6.55165004730225,-2.13980996608734,-0.188559383477854,-0.261569409207864,-1.01552420428821,-8.48744988441467,0.0825999975204468,-0.110117783149083,-0.0810098946094513,-1.80232489109039
"SCP2",3.80117713029568,1.80863308466294,4.70879232883453,0.845262169837952,3.10541072487831,-3.09596665700277,2.57550901633043,1.61419583608707,6.41305005550385,1.18795003890991,2.8636248950725,1.68782534992153,2.32735432152237,-3.86290015280247,-0.414200007915497,4.36790537834167,3.90923245747884,2.65627323918872
"SCYL3",-5.91899936474287,-0.409509338438511,-2.85341921219459,-1.2545770406723,-3.89838130907579,-2.08272503813108,-5.38540496390599,0.319262533138196,-2.50009995698929,-3.96050002574921,-4.24013393339903,-0.5654008009217,-2.09160740460668,-3.13179992884398,-0.281800001859665,-3.34071071942647,-0.75529013077418,-5.64081178771125
"SDHB",-0.149934890178534,-0.386423576707867,-1.50688846065448,-2.58306932449341,-0.846531215039166,-8.04515830675761,-0.657316904801589,-1.22325001160304,-9.98509979248047,-6.29692004323006,0.716240488964578,-0.219288078221408,0.652901638831411,-6.32974994182587,-0.795300006866455,1.96590916315715,2.15683197975159,-2.41604406552182
"SENP6",-4.22085180649391,-2.55576017024842,-3.45208458717053,-0.120707422494888,-2.69029294902628,-2.26194992661476,-1.64937296280494,-2.81408749520779,1.680350035429,0.778690099716187,-3.02865661227185,-3.11278188770468,-2.1414721267564,-6.54785001277924,2.41599988937378,-2.68903024991353,-4.39795104662577,-2.16769764820735
"SERPINE1",2.49402630329132,2.88712927021764,-2.27534617368992,1.73955988883972,1.121625025164,2.8877916932106,4.10091945299735,-0.709466663499673,3.11245000362396,1.26113002300262,3.25854423771734,1.12365888465535,1.81281334481069,5.49110001325607,0.647800028324127,3.30207133293152,-2.34150687853495,1.63833538691203
"SFN",2.3468775336559,-0.48403204435652,-1.97973457895792,1.44911360740662,2.77438682046804,-3.77483322223028,-2.55299591101133,2.28479162665705,1.69875001907349,-2.2196799993515,-2.36236140650252,-0.959279217503287,-3.20383026770183,1.22225001454353,3.23550009727478,-5.70010089874268,-7.33759276072184,-0.194547752539317
"SGCB",2.37203395366669,1.49446312558245,4.44344619718882,2.46142268180847,2.57612800869075,-3.02733338872592,2.4145845587437,1.12367084498207,-3.19075000286102,3.74261009693146,1.3742649425631,1.16140806793489,2.41170707345009,-0.695300102233887,1.93369996547699,4.0363347530365,4.26349194844564,0.957976195547316
"SHB",4.1766236103498,1.7423492372036,3.41072300305733,0.336837470531464,2.7743516266346,4.70659997065862,2.64544979425577,2.16453751921654,6.30064988136292,2.85912993848324,1.29991069824799,2.74773748354478,2.62668811210564,6.41369998455048,1.18229997158051,1.8665269613266,2.97573691606522,3.55154180526733
"SHC1",3.1553630393285,0.681191874160008,2.52215386812504,0.831369519233704,1.80601180818948,1.26032503445943,3.10709630984526,1.07760833203793,5.56005001068115,0.980480003356934,1.96964342730201,2.22549012574283,3.06643145424979,-1.91409993171692,0.454600006341934,4.61932853857676,5.17594559987386,2.09352819869916
"SIRT3",2.35500160547403,0.847845916720954,3.3989731165079,1.186607837677,0.715042229403149,2.02187498410543,3.7069614300361,3.59618331616124,-0.987500011920929,3.03161997795105,1.80494237593983,3.19758562472734,2.57329892260688,0.905699953436852,0.830299973487854,0.709115942319234,1.11957271893819,1.34820051822397
"SLC11A2",2.70539811024299,0.250047930262306,2.39050384209706,-5.25108337402344,-0.134352539412,3.85148334503174,0.216382251336024,3.01230836069832,2.25275003910065,4.22054989337921,-1.37312160626702,2.41457378864288,1.60775025401797,4.24835002422333,-1.39690005779266,2.2783936659495,-0.383223176002502,4.25825837585661
"SLC25A13",-2.11227206083444,-2.0193491496823,-0.845515380685146,-5.1701922416687,-0.725719143043865,-3.39254160722097,-4.68005211536701,0.410120841115713,3.29425001144409,-1.87935998439789,-2.0248015186061,-2.3104432428425,-1.37819203468306,-2.4728000164032,-1.2992000579834,-1.29136995474497,-1.58706788221995,-1.46805701156457
"SLC25A46",-5.81955359532283,-1.15150106495077,-4.15856537452111,1.00314879417419,-2.23789499564604,-7.87554162740707,-1.26912973018793,-1.45813748488824,-6.11264991760254,-5.61978003978729,0.464763683145461,-4.0226297297261,-3.02874692050474,-4.09820008277893,6.32870006561279,-3.2341825167338,-4.60329294204712,-6.47465301884545
"SLC27A3",5.9954560811703,2.40249872072177,4.64726929481213,0.853605449199677,2.52114835787903,4.90725843111674,4.15776134454287,0.535391655672963,5.14515018463135,1.75608996152878,0.867208625959313,3.37718374078924,5.1728749190058,4.05085003376007,-0.222800001502037,4.12879053751628,3.72537978490194,3.49351994196574
"SLC2A6",2.40766772857079,-0.266547346656973,-3.77312309466876,2.16279006004333,1.16729442097924,0.288441653052966,1.85893582609984,-4.88425421218077,3.3478000164032,4.00484998226166,-2.06537147967712,-2.99889254028147,-1.53215082415513,-2.12159997224808,-0.257200002670288,-0.506913642088572,-1.16110523541768,-2.40665720568763
"SLC35A3",-0.643680617213249,0.92470291976563,0.655057690464533,-0.192408517003059,1.06092815778472,-0.789950042963028,-1.01506287547258,2.29878329609831,-4.10274994373322,2.89437999725342,-0.0766790321339731,-0.0469692335887389,-0.552568124341113,-1.17199993133545,-0.0236000008881092,2.56718508402506,6.7267386118571,-0.478294830355379
"SLC35B1",1.14488242910459,-1.46564987200228,-2.31643457424182,-4.03450012207031,-1.41036790067499,-6.74465837081273,-1.51644656979121,-3.23425835122665,-5.24485003948212,-1.35779997110367,-1.47815580990004,-2.04994527318261,-0.925536256815706,-7.70930004119873,-7.36339998245239,3.68275610605876,-0.102696813642979,-4.23377349641588
"SLC35F2",-4.39119533392099,-3.06674681874839,-6.56792686994259,-0.915814518928528,-3.79945956306024,-2.66220831871033,-8.94440977389996,-7.75960834821065,-9.56685018539429,-4.96816005706787,-2.86770679558749,-3.13869325952096,-8.40679291316441,-9.12274980545044,-1.68760001659393,-7.32956965764364,-6.14248132705688,-6.54666864871979
"SLC37A4",-1.12036007413497,0.927566964179277,-2.95509235675518,0.255834102630615,-0.685728328471834,-3.94354168574015,-2.05816337236991,-0.720695848266284,2.03404998779297,-0.232519960403442,-1.30834926729617,0.0425321832299232,0.009098055107253,-4.83870005607605,-1.9941999912262,1.3535793920358,-1.38641770680745,-4.80584609839651
"SLC5A6",-1.35912697131817,-1.42706730013544,1.5307922913478,-1.72240376472473,-0.408579482273622,2.48380833864212,-1.11638119129034,0.820637499292691,-1.7077499628067,-0.78159009218216,-0.496259060242902,-0.152033442800695,-1.0826856964933,0.415399968624115,-0.587700009346008,2.86545014381409,1.60156659285227,1.64964244763056
"SMAD3",-2.49732606227581,-3.95002886111086,-1.04810000612186,2.79850554466248,1.08565579761158,-0.659166678786278,-0.942806498362468,-3.2385750003159,5.23695015907288,4.97754001617432,-1.19746865980003,-2.06609474122524,-3.25002242411886,2.40314996242523,0.985300004482269,-4.38916254043579,-1.0446499188741,-3.34454422526889
"SMARCA4",-2.27597104557432,1.00874519957738,-4.70043847194085,0.806362271308899,-0.513792260126634,-6.24594163894653,-3.18771165150862,-5.15829994281133,-10,-6.36493988037109,0.297464781805225,-3.98444869301536,-3.32015376005854,-5.97390002012253,-1.60430002212524,2.14396786689758,3.18821509679159,-3.53687704934014
"SMARCC1",-2.39686458787093,-0.656808818351816,-2.42988845935235,-1.79859793186188,0.363728685812517,-3.08414993683497,-3.43931433787713,-2.51752082506816,-10,-2.09440998136997,-0.307365421529697,-1.36740922385996,-5.68447230543409,-2.29719996452332,-1.77119994163513,1.34033413728078,0.111072440942128,-3.37659785482619
"SMC3",-6.05720254091116,-1.00484146550298,-2.38823464168952,-1.19858014583588,-3.86949311670932,1.65740834673246,-0.659773514820979,2.0394791594396,3.12524998188019,0.963940000534057,-1.7110329889085,-3.79682222279635,-0.985858491488865,4.7309997677803,0.504700005054474,-5.59529908498128,-4.70161390304565,-2.79347339603636
"SMC4",-8.69706667386568,-3.99852820858359,-9.44195384245652,-1.57191777229309,-5.4358171062036,-8.67024175326029,-8.14292040696511,-6.19862912098567,-9.6956000328064,-5.52010000944138,-5.32765840447467,-8.38540831479159,-8.08372877963952,-8.32909989356995,-1.50469994544983,-9.00959396362305,-9.69512685139974,-8.59621662563748
"SMNDC1",-4.93811400349324,-1.74268313497305,-3.1246730868633,-0.685385465621948,-3.11069439487024,3.39404159784317,-3.44452909208261,1.55439160515865,-5.07314991950989,0.650149957835674,-4.15629795582398,-3.52308668331666,-2.41169292532972,3.47939993813634,0.00570000009611249,-3.23041725158691,-5.55259768168132,-1.81363028950161
"SNAP25",2.9305061514561,0.10365128652616,4.553077010008,-0.916274070739746,1.70330166274851,1.19043334325155,4.11878639860795,4.24149584770203,1.31664997339249,2.06433007121086,2.43695620900911,2.86144123768265,4.93155718701226,2.93424995988607,0.559800028800964,2.73037314414978,5.4338968594869,3.27364009618759
"SNCA",3.27316639056573,0.00712784955447376,3.02033843443944,1.15879356861115,0.329998774961992,3.09339159727097,1.69979198162372,-2.69653748410443,4.37985002994537,-3.41114001274109,0.0448144434586813,0.3428040553223,1.52904340199062,-4.23795002698898,1.56770002841949,4.80060911178589,1.85389200846354,2.50363830063078
"SNX11",-6.24768630357889,-1.60858121378855,-5.57755002608666,0.135160773992538,-0.250183201310309,-3.50404991209507,-6.00517144569984,-0.159504185120265,-6.27485013008118,0.0178100109100342,-2.38917743382247,-1.06758766858415,-5.79579759256116,-3.58390009403229,-0.912699997425079,-8.34173011779785,-4.13851885000865,-4.96404351790746
"SNX13",5.40121378577672,2.7450396858833,4.8748807998804,1.20313310623169,3.03266054662791,3.48512498537699,4.11181759605041,4.63543750842412,6.40125012397766,4.39352995157242,3.30522132179011,5.08013084801761,4.88490509986877,9.06155014038086,2.11190009117126,5.61722119649251,3.64384770393372,3.29809659057193
"SNX7",3.83949741950402,2.12135067717595,2.01093076513364,0.923195123672485,2.89682220582935,3.70075003306071,3.56903452598132,1.78634168005859,3.53170001506805,3.63390002250671,2.65255542941715,1.15504182333296,2.28431321361235,5.36019992828369,-1.47189998626709,2.31221667925517,2.91021768252055,2.8605297671424
"SOCS2",4.57594964137444,1.83718347210776,4.45184606772203,-2.14899110794067,1.97838619893247,4.26632503668467,4.68832809649981,2.96615409851074,6.10710000991821,3.94808002710342,2.57259787554326,2.72605644301935,3.67386083943503,6.20319998264313,3.02740001678467,5.31820090611776,3.86306174596151,3.40910561548339
"SOX2",5.12097059763395,2.45527536760677,6.04773081265963,-0.499073803424835,3.24011479860002,6.73747511704763,5.60176256528267,6.03313748041789,5.33104991912842,4.14093996882439,4.02448048604571,5.53370686281811,5.80487851585661,6.24409997463226,0.759199976921082,8.29905637105306,1.19501034418742,1.96955469581816
"SOX4",0.546990819991781,-2.4913581027226,-5.18445765055143,-3.91925001144409,-6.91344445943832,-1.37864165753126,-7.62212718450106,-9.29877080519994,-10,-1.14469999969006,-6.02551455083101,-2.89338060942563,-6.84052085876465,-1.4339499771595,-2.85929989814758,-9.72806739807129,-8.34783871968587,-9.30660555097792
"SPAG4",2.15416412628614,-0.470944987101988,0.217142302256364,2.28359794616699,3.05659852244637,2.82890002926191,0.543252202180716,-0.164758284886678,-0.348600000143051,3.43350003957748,1.69569517088973,-0.600984627550299,1.1672740525433,2.40879994630814,1.5599000453949,1.91827960809072,1.00505449374517,1.5446058081256
"SPAG7",1.14578929543495,-3.24518759938126,2.17073847697331,-3.01852250099182,-2.3583569011905,2.17628329992294,4.1165527013632,-1.70193749666214,0.00674998760223389,-2.68211998939514,0.00889846552973189,-1.8259110328826,2.4968470122133,-1.47674989700317,-0.00650000013411045,0.104511936505636,-0.19120762248834,3.43667893939548
"SPDEF",4.86425795119542,1.89504454488104,5.41029613751632,-1.95136094093323,1.12759252756157,5.49883335828781,1.24452291543667,5.27049167950948,7.09109997749329,2.86503007411957,-7.75091189081254,-0.820127763531425,-4.31945806741714,3.06155008077621,-6.60510015487671,3.12495692571004,2.22340480486552,3.4491653740406
"SPEN",-3.4647979919727,0.0757366493344307,-2.17821922669044,-0.07498499751091,-5.53016345067458,-2.15891666462024,-6.87197407850852,-0.245595825215181,-6.84430003166199,-0.0968099907040596,-0.749279758852461,-0.441252206536857,-1.78896331787109,-4.65139999985695,-0.195600003004074,-2.5939253171285,-2.32264800866445,-2.43492659926414
"SPR",-1.40486380228629,-2.63872660425576,1.87072305495922,-1.60610294342041,0.104588742960583,0.348949977507194,-1.721400749798,0.499550004606135,-0.181749999523163,-0.655449989438057,-0.372295760590097,0.00634994831952189,-0.912380627223424,2.45945000648499,-0.251599997282028,-2.45321782430013,-2.72112003962199,-3.20538454916742
"SPRED2",3.32588575895016,1.91950378905643,3.38517693602122,0.914349615573883,1.82357673482461,3.33987502008677,1.77169312192843,1.79497086380919,2.88889998197556,1.97535000145435,1.77760344355003,3.04658943414688,3.69876667431423,2.48504999279976,1.71979999542236,4.17187627156575,3.89473454157511,2.56386559539371
"SPTAN1",-6.0700493821731,-1.79106905650009,-3.74518461869313,2.12280607223511,-2.54865610599518,-1.08029167354107,-0.563680946146353,2.55469167108337,-2.9543000459671,-1.47082997560501,2.17198099066382,-1.47693628072739,-0.239081507282598,3.8701000213623,2.23020005226135,-1.98966729640961,-1.38735270500183,-1.31088915467262
